city,date,no2
Hyderabad,2024-01-30,7.875360652035183E-5
Bahawalpur,2024-01-30,
Sargodha,2024-01-30,2.967817001715771E-5
Sukkur,2024-01-30,
Larkana,2024-01-30,
Lahore,2024-01-31,
Karachi,2024-01-31,5.423816977038875E-5
Islamabad,2024-01-31,
Faisalabad,2024-01-31,
Rawalpindi,2024-01-31,
Multan,2024-01-31,2.6813352090551768E-5
Peshawar,2024-01-31,
Gujranwala,2024-01-31,2.3344136979190464E-5
Quetta,2024-01-31,1.2806660574224488E-5
Sialkot,2024-01-31,
Hyderabad,2024-01-31,2.958825791012906E-5
Bahawalpur,2024-01-31,2.223737635341122E-5
Sargodha,2024-01-31,2.8758981212322122E-5
Sukkur,2024-01-31,2.9975806915030836E-5
Larkana,2024-01-31,2.0951035660926994E-5
Lahore,2024-02-01,4.4770453504045406E-5
Karachi,2024-02-01,2.2187109977314076E-4
Islamabad,2024-02-01,7.143920522015863E-5
Faisalabad,2024-02-01,5.1675003418219994E-5
Rawalpindi,2024-02-01,6.901504566815406E-5
Multan,2024-02-01,6.179142136587335E-5
Peshawar,2024-02-01,4.7562984031504064E-5
Gujranwala,2024-02-01,3.9821418303234245E-5
Quetta,2024-02-01,9.995099109835517E-6
Sialkot,2024-02-01,
Hyderabad,2024-02-01,3.160382346059108E-5
Bahawalpur,2024-02-01,3.2228536842272293E-5
Sargodha,2024-02-01,3.260711262451038E-5
Sukkur,2024-02-01,2.123509477382153E-5
Larkana,2024-02-01,2.262789414995339E-5
Lahore,2024-02-02,6.444569563800965E-5
Karachi,2024-02-02,7.156992765667411E-5
Islamabad,2024-02-02,5.996030582708009E-5
Faisalabad,2024-02-02,6.129485435826733E-5
Rawalpindi,2024-02-02,6.373447616052546E-5
Multan,2024-02-02,5.212186463330512E-5
Peshawar,2024-02-02,4.764164449587474E-5
Gujranwala,2024-02-02,2.8075462900691107E-5
Quetta,2024-02-02,1.5198684490044993E-5
Sialkot,2024-02-02,2.442292568417854E-5
Hyderabad,2024-02-02,6.316053738140557E-5
Bahawalpur,2024-02-02,
Sargodha,2024-02-02,2.713827326074892E-5
Sukkur,2024-02-02,3.302548675095922E-5
Larkana,2024-02-02,3.22894798392989E-5
Lahore,2024-02-03,
Karachi,2024-02-03,3.386868067528519E-5
Islamabad,2024-02-03,
Faisalabad,2024-02-03,
Rawalpindi,2024-02-03,
Multan,2024-02-03,
Peshawar,2024-02-03,
Gujranwala,2024-02-03,
Quetta,2024-02-03,9.505778125847864E-6
Sialkot,2024-02-03,
Hyderabad,2024-02-03,
Bahawalpur,2024-02-03,
Sargodha,2024-02-03,
Sukkur,2024-02-03,2.7688028180899064E-5
Larkana,2024-02-03,1.5142755153403354E-5
Lahore,2024-02-04,3.6019888368599544E-5
Karachi,2024-02-04,
Islamabad,2024-02-04,5.356430186269167E-5
Faisalabad,2024-02-04,5.5966101349164635E-5
Rawalpindi,2024-02-04,5.792957629910689E-5
Multan,2024-02-04,5.0035775312818596E-5
Peshawar,2024-02-04,4.591925409074641E-5
Gujranwala,2024-02-04,2.1431702853603296E-5
Quetta,2024-02-04,1.964613337011188E-5
Sialkot,2024-02-04,1.9117281700359535E-5
Hyderabad,2024-02-04,
Bahawalpur,2024-02-04,2.5032995803121935E-5
Sargodha,2024-02-04,3.2368540864165804E-5
Sukkur,2024-02-04,2.6290306403297883E-5
Larkana,2024-02-04,1.3479970592566968E-5
Lahore,2024-02-05,1.0349081030234603E-4
Karachi,2024-02-05,5.5250913513553364E-5
Islamabad,2024-02-05,8.044747033141166E-5
Faisalabad,2024-02-05,7.016909812852833E-5
Rawalpindi,2024-02-05,8.456165060814847E-5
Multan,2024-02-05,1.9518548811952703E-5
Peshawar,2024-02-05,4.335825325324872E-5
Gujranwala,2024-02-05,3.331854217043112E-5
Quetta,2024-02-05,1.858436953992917E-5
Sialkot,2024-02-05,2.3109933918516816E-5
Hyderabad,2024-02-05,2.6483951887789108E-5
Bahawalpur,2024-02-05,1.961450351422333E-5
Sargodha,2024-02-05,2.8528228437102383E-5
Sukkur,2024-02-05,3.8181153899728105E-5
Larkana,2024-02-05,2.85038505989234E-5
Lahore,2024-02-06,7.92495627776499E-5
Karachi,2024-02-06,5.386876397809397E-5
Islamabad,2024-02-06,8.820052272180646E-5
Faisalabad,2024-02-06,3.8536581929973466E-5
Rawalpindi,2024-02-06,7.343866574177399E-5
Multan,2024-02-06,3.9193823003476556E-5
Peshawar,2024-02-06,2.597029713420842E-5
Gujranwala,2024-02-06,2.2028948235023135E-5
Quetta,2024-02-06,9.734420901394474E-6
Sialkot,2024-02-06,2.097104092333879E-5
Hyderabad,2024-02-06,3.134167689131012E-5
Bahawalpur,2024-02-06,2.2552042520727472E-5
Sargodha,2024-02-06,2.02817134367448E-5
Sukkur,2024-02-06,3.702933871399334E-5
Larkana,2024-02-06,3.3861056319613523E-5
Lahore,2024-02-07,7.419229406619103E-5
Karachi,2024-02-07,1.0492325756997327E-4
Islamabad,2024-02-07,5.159069668794892E-5
Faisalabad,2024-02-07,2.827081696144282E-5
Rawalpindi,2024-02-07,5.5961592474609346E-5
Multan,2024-02-07,3.308401474609299E-5
Peshawar,2024-02-07,3.1192235718438416E-5
Gujranwala,2024-02-07,3.216323666633497E-5
Quetta,2024-02-07,1.5753024609566605E-5
Sialkot,2024-02-07,2.5142459455262916E-5
Hyderabad,2024-02-07,2.4015240482296165E-5
Bahawalpur,2024-02-07,1.971441014923185E-5
Sargodha,2024-02-07,1.8053138132238332E-5
Sukkur,2024-02-07,2.8594684133117837E-5
Larkana,2024-02-07,2.5896679264816507E-5
Lahore,2024-02-08,4.6180777057348054E-5
Karachi,2024-02-08,7.37774295725826E-5
Islamabad,2024-02-08,2.8397879275246413E-5
Faisalabad,2024-02-08,2.6772196584761606E-5
Rawalpindi,2024-02-08,3.212586628912342E-5
Multan,2024-02-08,2.6154578137024152E-5
Peshawar,2024-02-08,2.6941728234563142E-5
Gujranwala,2024-02-08,1.967204785251496E-5
Quetta,2024-02-08,1.6020300722949295E-5
Sialkot,2024-02-08,1.6988661252797307E-5
Hyderabad,2024-02-08,3.159006270215382E-5
Bahawalpur,2024-02-08,2.1465481199792522E-5
Sargodha,2024-02-08,2.279651761818503E-5
Sukkur,2024-02-08,2.332943269432434E-5
Larkana,2024-02-08,2.1773319318866657E-5
Lahore,2024-02-09,9.614526914704221E-5
Karachi,2024-02-09,6.1901310239543E-5
Islamabad,2024-02-09,8.641804529506276E-5
Faisalabad,2024-02-09,5.076081708852087E-5
Rawalpindi,2024-02-09,8.24555349089496E-5
Multan,2024-02-09,3.4880932018526814E-5
Peshawar,2024-02-09,4.5532511801003186E-5
Gujranwala,2024-02-09,3.92821269669423E-5
Quetta,2024-02-09,1.4267539361176868E-5
Sialkot,2024-02-09,2.7890188023726162E-5
Hyderabad,2024-02-09,3.955614525991059E-5
Bahawalpur,2024-02-09,2.3333838189511446E-5
Sargodha,2024-02-09,3.005140045647029E-5
Sukkur,2024-02-09,2.668668568530655E-5
Larkana,2024-02-09,2.764131191011745E-5
Lahore,2024-02-10,1.772594693544238E-4
Karachi,2024-02-10,1.0870043227449732E-4
Islamabad,2024-02-10,1.147449484123193E-4
Faisalabad,2024-02-10,7.079033546221598E-5
Rawalpindi,2024-02-10,1.1355008327812511E-4
Multan,2024-02-10,5.959124238135819E-5
Peshawar,2024-02-10,6.151148883714215E-5
Gujranwala,2024-02-10,5.198908657008818E-5
Quetta,2024-02-10,2.2640054213014164E-5
Sialkot,2024-02-10,3.7218350159976666E-5
Hyderabad,2024-02-10,4.1188547578982116E-5
Bahawalpur,2024-02-10,3.5252258571875385E-5
Sargodha,2024-02-10,4.930869053196684E-5
Sukkur,2024-02-10,3.226538266856925E-5
Larkana,2024-02-10,3.102748262375265E-5
Lahore,2024-02-11,1.729202722648372E-4
Karachi,2024-02-11,9.24053225890477E-5
Islamabad,2024-02-11,8.381599334097658E-5
Faisalabad,2024-02-11,5.2441351112930154E-5
Rawalpindi,2024-02-11,9.42844813949948E-5
Multan,2024-02-11,4.9313607407215054E-5
Peshawar,2024-02-11,5.9198439043275874E-5
Gujranwala,2024-02-11,1.1157081250618381E-4
Quetta,2024-02-11,1.8442416605264196E-5
Sialkot,2024-02-11,4.476847515002583E-5
Hyderabad,2024-02-11,3.710080050503708E-5
Bahawalpur,2024-02-11,3.2916188542412044E-5
Sargodha,2024-02-11,3.5738304658064546E-5
Sukkur,2024-02-11,4.440010016081544E-5
Larkana,2024-02-11,3.410676865913988E-5
Lahore,2024-02-12,1.6119574230456717E-4
Karachi,2024-02-12,1.4891619319210613E-4
Islamabad,2024-02-12,1.1171250737938024E-4
Faisalabad,2024-02-12,
Rawalpindi,2024-02-12,7.721559887296054E-5
Multan,2024-02-12,
Peshawar,2024-02-12,3.623502502030345E-5
Gujranwala,2024-02-12,3.6029417441401985E-5
Quetta,2024-02-12,1.772211931115485E-5
Sialkot,2024-02-12,2.8746280024927205E-5
