city,date,temp_c,wind_ms,precip_mm
Sargodha,2022-07-25,28.356542251194128,2.1786194960221343,8.718657047812126
Sukkur,2022-07-25,28.579253791642884,4.663089574419578,4.198111782623988
Larkana,2022-07-25,28.529177058775872,4.3013426924851075,8.556810575837357
Lahore,2022-07-26,29.49608763761114,2.301523530788299,0.6626805302119657
Karachi,2022-07-26,27.504485995502137,3.4284423208703605,8.877975096872637
Islamabad,2022-07-26,26.547728813803985,0.6980850213280732,4.790133287429232
Faisalabad,2022-07-26,29.866192170549027,1.9424684906406982,3.497002541028476
Rawalpindi,2022-07-26,27.326367791341738,0.9440852557269652,3.40379157269968
Multan,2022-07-26,30.030759283762563,1.9219494208108032,2.2314070655544285
Peshawar,2022-07-26,28.277371251491616,0.7987878574648486,5.067703466893941
Gujranwala,2022-07-26,29.374932930786883,2.027791003385588,0.819674495534083
Quetta,2022-07-26,21.063628332017515,1.739576093170866,5.145956688532548
Sialkot,2022-07-26,28.848824950748167,1.7290410952457955,0.29577562630878396
Hyderabad,2022-07-26,27.188541776314537,3.1795087930235777,7.80007916568584
Bahawalpur,2022-07-26,29.330299625635234,1.616348047948601,7.326271076739494
Sargodha,2022-07-26,29.801906983996275,1.6682737248586568,2.7123398787061
Sukkur,2022-07-26,28.59414302536993,0.6445717703814554,11.853257741775543
Larkana,2022-07-26,28.512023109109464,0.6795203991900628,6.608674270081908
Lahore,2022-07-27,29.083589448880446,2.2002479391334355,6.53325372682506
Karachi,2022-07-27,27.480760017078637,4.267178077962203,6.5440650016254045
Islamabad,2022-07-27,25.47427917067381,1.262120939169797,14.318764234307709
Faisalabad,2022-07-27,29.7949031254563,2.2173754971187756,4.794022662365096
Rawalpindi,2022-07-27,26.14546427298592,1.5929086344357613,15.183907460338022
Multan,2022-07-27,30.77940833432126,0.9883066912194463,3.4366358619718715
Peshawar,2022-07-27,27.872281615029692,1.633223184691861,12.246670296734445
Gujranwala,2022-07-27,28.642999852752496,2.1209832087830542,9.399854166808458
Quetta,2022-07-27,22.207275811197235,0.447527840406301,19.07652024398154
Sialkot,2022-07-27,28.03945130088192,1.7029553545615839,15.131290549801225
Hyderabad,2022-07-27,27.322716859696015,4.631923236595158,3.998219053816915
Bahawalpur,2022-07-27,30.277436331466106,0.83229355803665,1.8696795497202263
Sargodha,2022-07-27,29.147539656744584,2.1359467816694093,10.002907615502117
Sukkur,2022-07-27,29.062959778284835,0.7854292664166903,10.792012248399137
Larkana,2022-07-27,29.398035155739876,1.0162404939098688,6.694694566768581
Lahore,2022-07-28,28.054108640098548,1.8944092179590957,10.44160940339569
Karachi,2022-07-28,27.300509611912048,5.36038345279367,1.9615068205641688
Islamabad,2022-07-28,24.82203877896029,1.4230970914414538,13.855207261193119
Faisalabad,2022-07-28,28.77890663428815,1.8153302790199897,8.806679913426217
Rawalpindi,2022-07-28,25.37527980907811,1.8181974642691996,12.712016843047573
Multan,2022-07-28,29.73411266988552,0.5549533310357645,10.575766595546852
Peshawar,2022-07-28,26.38406943845564,1.4700214905383673,8.969285313755831
Gujranwala,2022-07-28,27.822226116964373,1.9826388328114066,10.65779880576365
Quetta,2022-07-28,21.623983274457885,0.48658141950055966,18.10031481330634
Sialkot,2022-07-28,27.25726768818396,2.0823748541389993,10.393208063797656
Hyderabad,2022-07-28,28.121841389081,5.894919444786923,0.15174664421103032
Bahawalpur,2022-07-28,29.47745803451494,1.891693124745122,3.5357632114302406
Sargodha,2022-07-28,28.303003570833994,1.8009184213712337,19.239966707470565
Sukkur,2022-07-28,28.435458608444378,1.5019098828949775,18.100213278847477
Larkana,2022-07-28,29.075049459555885,0.9689890082417368,18.113724502897245
Lahore,2022-07-29,27.921166075554197,1.3468858082254664,7.524581843573573
Karachi,2022-07-29,27.890241452406144,6.672551456470276,1.348593716303365
Islamabad,2022-07-29,25.638806992739035,1.0497760768752546,6.667352335840442
Faisalabad,2022-07-29,28.84184766369043,1.0759480792963014,8.208854805869452
Rawalpindi,2022-07-29,26.32104455925372,1.3758613465426808,6.097420696156799
Multan,2022-07-29,29.252947205326734,1.937805595982976,3.693465158992918
Peshawar,2022-07-29,25.769745758929787,0.9229077975770265,20.597975289844797
Gujranwala,2022-07-29,27.826259693191332,1.6304594236492331,27.169373552226865
Quetta,2022-07-29,22.111473113885722,0.84153635076901,7.744330103178862
Sialkot,2022-07-29,27.55292898623702,1.5965775315166844,21.55261174173317
Hyderabad,2022-07-29,28.46817200573713,6.524312453062324,0.14586382866474412
Bahawalpur,2022-07-29,28.831701772499684,2.879015514342574,8.025572989306662
Sargodha,2022-07-29,29.037011460476094,1.221450389207085,4.961940569291942
Sukkur,2022-07-29,29.803406436171713,2.622260562751175,1.0793591809206025
Larkana,2022-07-29,30.494265956398237,1.9232298750832357,0.6295851901674323
Lahore,2022-07-30,28.105651006190044,1.3616500856645655,6.920700736066204
Karachi,2022-07-30,27.740831749560073,7.447350784690455,1.0541537401299712
Islamabad,2022-07-30,25.946714019775413,0.5364878389810971,2.7135229371583134
Faisalabad,2022-07-30,29.283012505191095,1.1364713033734373,4.700851948882628
Rawalpindi,2022-07-30,26.58547353998864,0.8667389182960421,1.5057410620515488
Multan,2022-07-30,30.387059729253508,2.2490324718379204,0.8710096559986735
Peshawar,2022-07-30,28.049746409663385,0.8009957499150656,1.7279378697297219
Gujranwala,2022-07-30,28.148067944635613,1.532546013155614,9.23962121015928
Quetta,2022-07-30,23.270773336222646,0.6882989530865906,0.16279831200048012
Sialkot,2022-07-30,27.696545697025442,1.543691644375119,8.581244125960515
Hyderabad,2022-07-30,28.654118540200898,6.879006570629548,0.2012137016893782
Bahawalpur,2022-07-30,29.488156303408346,3.069321308912505,0.9351941912868618
Sargodha,2022-07-30,29.394997636719552,1.1100269742983166,2.667875426474607
Sukkur,2022-07-30,30.765766663057377,2.4685147792142454,0.03456709531288151
Larkana,2022-07-30,31.486814896486464,1.654132145107714,0.11758852266526969
Lahore,2022-07-31,27.745540317905693,0.9940056433082091,10.429195716793197
Karachi,2022-07-31,27.976278647263143,7.797900788118212,1.819608660950609
Islamabad,2022-07-31,25.75047935382571,0.7953480861678952,10.314104720226569
Faisalabad,2022-07-31,28.76120185089451,1.1893010561283976,19.458652109951835
Rawalpindi,2022-07-31,26.42186833731165,1.1809911132981332,11.449206976472137
Multan,2022-07-31,30.513614587282234,2.4751169020759582,5.168828576196862
Peshawar,2022-07-31,27.738905944415023,0.7726987067128357,16.351828533938342
Gujranwala,2022-07-31,27.932574427608074,0.8877236734946116,9.95741046861378
Quetta,2022-07-31,23.495522855152387,1.335647469058744,0.04638311523879589
Sialkot,2022-07-31,27.44831050084673,0.8459148625171855,11.560812589625687
Hyderabad,2022-07-31,28.903269194462382,7.039273685947156,0.2392336136247859
Bahawalpur,2022-07-31,30.17452749380402,3.243922985455908,0.26052237110419196
Sargodha,2022-07-31,28.589299260510245,1.0370307376065004,22.646433711627154
Sukkur,2022-07-31,31.07440218051977,3.301537229969804,0.0032031246670599835
Larkana,2022-07-31,31.8094191149724,2.678214905731718,0.0056887876731698496
Lahore,2022-08-01,28.118785889603032,0.7453239017705828,2.662559463713102
Karachi,2022-08-01,27.8290216378536,7.271770152790459,1.2129905463882396
Islamabad,2022-08-01,25.22620380485523,0.4577717352247282,4.437638278853698
Faisalabad,2022-08-01,28.208932485170237,0.07287456939456398,7.28035237026289
Rawalpindi,2022-08-01,25.866871305495522,0.3871869643194159,3.889303050316188
Multan,2022-08-01,29.650681149214222,0.9420145936789673,4.037808820484971
Peshawar,2022-08-01,26.55947293632363,0.48503913668393384,2.167561677623149
Gujranwala,2022-08-01,28.193163189000416,0.05971146338017386,1.9710464490611872
Quetta,2022-08-01,22.799047929178187,0.9162585459326034,0.31711936891918724
Sialkot,2022-08-01,28.056695456027853,0.3827846634870724,1.1176428862493573
Hyderabad,2022-08-01,28.736365822000323,6.635486647645273,0.4434159715975534
Bahawalpur,2022-08-01,29.86136966405263,2.042230702569238,0.7900833478862727
Sargodha,2022-08-01,27.898717014412625,0.2789654336890332,7.713974478714024
Sukkur,2022-08-01,31.256853270921965,2.310684923710683,0.0020346113885919355
Larkana,2022-08-01,32.02660099065304,1.3199601337912097,0.0017195216628351773
Lahore,2022-08-02,29.892485187080354,1.5436775783084618,0.44216201095412616
Karachi,2022-08-02,27.9960851648803,5.326834498065663,1.019180344558271
Islamabad,2022-08-02,26.93304358738942,0.18175602399365431,0.19149949796826896
Faisalabad,2022-08-02,30.34253044062109,1.0091050296282462,0.3815132254625185
Rawalpindi,2022-08-02,27.722881016332565,0.1339196777583546,0.1673949801661219
Multan,2022-08-02,31.029604034936995,1.9225298709718155,0.3487311261148402
Peshawar,2022-08-02,29.853055001729615,0.4434934022859807,0.047165856916955726
Gujranwala,2022-08-02,29.83560987003949,1.367700712060234,0.16174853668343414
Quetta,2022-08-02,22.91908275680447,0.8162512544473967,0.3146834372511085
Sialkot,2022-08-02,29.429582608831254,1.0669712175259087,0.16810404938099024
Hyderabad,2022-08-02,29.23684924569409,5.088479928224214,0.031273910741378766
Bahawalpur,2022-08-02,30.57650172417914,2.3830403783213314,0.37693891296437704
Sargodha,2022-08-02,30.31839399995829,1.2649821446434286,0.3007014682171636
Sukkur,2022-08-02,31.650708994111994,2.4245825235675773,0.16690982061651466
Larkana,2022-08-02,32.42480621230169,1.2886056044262746,0.7394629639551888
Lahore,2022-08-03,29.942671393832256,1.1638990722920894,2.3831803693771154
Karachi,2022-08-03,28.307676317651556,3.7283181532656444,0.5672811860950016
Islamabad,2022-08-03,27.452063629227837,0.2224034477602462,0.11747617954789115
Faisalabad,2022-08-03,30.34426777411528,0.6965123700824927,3.247743823610352
Rawalpindi,2022-08-03,28.234963254976208,0.2053906173680544,0.08472886326699541
Multan,2022-08-03,31.678374120678825,1.4533151256216215,0.31193137424708545
Peshawar,2022-08-03,30.78331577284581,0.6827251876236061,0.01485213829643379
Gujranwala,2022-08-03,30.282190003488836,0.8769973757275903,1.8548348460499613
Quetta,2022-08-03,22.87874522781084,0.5426381961624556,0.4135512834064834
Sialkot,2022-08-03,29.863318749656173,0.3317495234743318,1.2175552434294845
Hyderabad,2022-08-03,29.63171649545484,3.60897175711074,0.01901036284994931
Bahawalpur,2022-08-03,31.4833777227949,2.0926768167753247,0.006995414163291944
Sargodha,2022-08-03,30.60996913699495,0.8422878626566881,1.6878591032043437
Sukkur,2022-08-03,31.794697948326473,2.454737781066888,0.014180638298030523
Larkana,2022-08-03,32.132539216647785,1.7076819719764171,0.013990178623545041
Lahore,2022-08-04,29.39998120381489,1.6835153699426149,4.022071774707595
Karachi,2022-08-04,28.57082028777188,3.222891127674628,0.20885640434403388
Islamabad,2022-08-04,28.072733115181734,0.7263499482582082,0.8673401240371115
Faisalabad,2022-08-04,31.05054179095856,1.5372852913600696,1.1245597488510137
Rawalpindi,2022-08-04,28.90720622591965,1.1249856147702382,0.5410494360576517
Multan,2022-08-04,32.43241021171758,1.2223419795805495,0.08350497729827343
Peshawar,2022-08-04,30.996558634801318,0.5963282800789311,0.18686236610889595
Gujranwala,2022-08-04,29.774471305947998,1.8426338211843953,4.682786578564645
Quetta,2022-08-04,23.78644432535924,0.6901124227787861,0.5573761548755718
Sialkot,2022-08-04,29.068379826922524,1.7265525005194156,5.340068035846548
Hyderabad,2022-08-04,30.236927702833157,2.5517934037668786,0.0022254547311228562
